GermLayer,DifferentiationState,Stage,CellName,CellTypeID,Anatomy1,Anatomy2,Sulston,CellType,Generalized
2:Ectodermal,4:Terminally differentiated,e,ABplaapaaaa,109,Head,Cylindrical hypodermal syncytium,hyp3,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABplaaappa,123,Apical midline,Hypoderm,H0L,Seam hypodermal cell,Seam Cell
2:Ectodermal,4:Terminally differentiated,e,ABplaaapap,109,Head,Cylindrical hypodermal syncytium,hyp5,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABplaaapaa,109,Head,Hypoderm,XXXL,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABplaaaapp,109,Head,Cylindrical hypodermal syncytium,hyp6,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABplaaaapa,109,Head,Cylindrical hypodermal syncytium,hyp6,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABplaaaaappp,110,Head,Nerve ring,URXL,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABplaaaaappa,114,Head,Cephalic sensilla,CEPDL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABplaaaaaap,114,Head,Neuron,CEMDL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABplaaaaaaa,114,Head,Nerve ring,URADL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarpppappp,114,Body,Anterior half of the body,BDUR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarpppappa,114,Body,Lateral in midbody,ALMR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarpppapa,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarpppaaa,122,Head,Anterior deirid,ADEshR,Sheath cell (glia?),Other
2:Ectodermal,4:Terminally differentiated,e,ABarppaappp,114,Body,Anterior half of the body,BDUL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarppaappa,114,Body,Lateral in midbody,ALML,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarppaapa,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarppaaaa,122,Head,Anterior deirid,ADEshL,Sheath cell (glia?),Other
2:Ectodermal,4:Terminally differentiated,e,ABarpapppa,123,Apical midline,Hypoderm,H0R,Seam hypodermal cell,Seam Cell
2:Ectodermal,4:Terminally differentiated,e,ABarpappap,109,Head,Cylindrical hypodermal syncytium,hyp5,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarpappaa,109,Head,Hypoderm,XXXR,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarpapapp,109,Head,Cylindrical hypodermal syncytium,hyp6,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarpapapa,109,Head,Cylindrical hypodermal syncytium,hyp4,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarpapaappp,110,Head,Nerve ring,URXR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarpapaappa,114,Head,Cephalic sensilla,CEPDR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarpapaaap,114,Head,Neuron,CEMDR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarpapaaaa,114,Head,Nerve ring,URADR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarpaappp,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarpaappa,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarpaapap,109,Embryonic large hypodermal syncytium,Hypoderm,hyp7,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarpaapaa,109,Head,Cylindrical hypodermal syncytium,hyp6,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarpaaapap,122,Head,Ring and part of ventral ganglion,CEPshDR,Sheath cell (glia?),Other
2:Ectodermal,4:Terminally differentiated,e,ABarpaaapaa,122,Lip,Quadrant outer labial,OLQshDR,Sheath cell (glia?),Other
2:Ectodermal,4:Terminally differentiated,e,ABarpaaaapp,122,Head,Ring and part of ventral ganglion,CEPshDL,Sheath cell (glia?),Other
2:Ectodermal,4:Terminally differentiated,e,ABarpaaaapa,122,Lip,Quadrant outer labial,OLQshDL,Sheath cell (glia?),Other
2:Ectodermal,4:Terminally differentiated,e,ABarpaaaaar,127,Lip,Quadrant outer labial,OLQsoDR,Socket cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABarpaaaaal,127,Lip,Quadrant outer labial,OLQsoDL,Socket cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABarapppppp,114,Lip,Inner labial,IL2VR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarapppppaa,114,Lip,Inner labial,IL1VR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarappppap,114,Head,Nerve ring,BAGR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarappppaa,114,Head,Nerve ring,SMDVR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarapppapp,127,Lip,Inner labial,ILsoVR,Socket cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABarapppapa,110,Head,Nerve ring,SAADR,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarapppaap,122,Lip,Inner labial,ILshVR,Sheath cell (glia?),Other
2:Ectodermal,4:Terminally differentiated,e,ABarapppaaa,114,Head,Nerve ring,RMDVR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarappappp,114,Head,Nerve ring,SMBVR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarappappa,114,Body,Ventral nerve cord,DB2,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarappapapp,114,Head,Nerve ring,SMBDR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarappapaa,114,Head,Nerve ring,RMDDR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarappaapa,109,Head,Cylindrical hypodermal syncytium,hyp1V,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABarappaaaa,110,Head,Nerve ring,RIPR,Interneuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,ABarapapppp,112,Pharynx,Muscle,m3VR,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABarapapppa,117,Pharynx,Marginal,mc2V,Pharyngeal marginal cell,Pharynx
2:Ectodermal,4:Terminally differentiated,e,ABarapappaa,110,Pharynx,Anterior bulb,I1R,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarapapapa,104,Pharynx,"Interface between pharynx and hypodermis, form anterior part of buccal cavity.",arc Post V,Other,Pharynx
2:Ectodermal,4:Terminally differentiated,e,ABarapapapp,110,Pharynx,Posterior bulb,I5,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarapapaapa,110,Pharynx,Anterior bulb,I2R,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABarapaappp,114,Pharynx,Neuron,MCR,Neuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,ABarapaappa,112,Pharynx,Muscle,m3R,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABarapaapaa,112,Pharynx,Muscle,m2R,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABarapaaapa,112,Pharynx,Muscle,m1VR,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABarapaaaap,112,Pharynx,Muscle,m2VR,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABarapaaaaa,104,Pharynx,Epithelium,e3VR,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABaraappppp,114,Pharynx,Neuron,M3R,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABaraappppa,114,Pharynx,Neuron,M2R,Neuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,ABaraapppap,112,Pharynx,Muscle,m5R,Muscle cell,Pharynx
2:Ectodermal,4:Terminally differentiated,e,ABaraapppaav,114,Pharynx,Neuron,NSMR,Neuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,ABaraappapp,117,Pharynx,Marginal,mc2DR,Pharyngeal marginal cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABaraappapa,112,Pharynx,Muscle,m2DR,Muscle cell,Pharynx
